feature,group1,group2,n1,n2,mean1,mean2,median1,median2,test,pval,effect,normal,equal_var,qval
t1_ET_shape_Maximum2DDiameterSlice,High,Low,79,79,45.64502771659613,59.590829001352475,46.84015371452148,59.033888572581766,t,2.3951377384999418e-06,-0.7794012032583538,True,True,0.0007918960077762038
t1ce_ET_shape_Maximum2DDiameterSlice,High,Low,79,79,45.64502771659613,59.590829001352475,46.84015371452148,59.033888572581766,t,2.3951377384999418e-06,-0.7794012032583538,True,True,0.0007918960077762038
t2_ET_shape_Maximum2DDiameterSlice,High,Low,79,79,45.64502771659613,59.590829001352475,46.84015371452148,59.033888572581766,t,2.3951377384999418e-06,-0.7794012032583538,True,True,0.0007918960077762038
flair_ET_shape_Maximum2DDiameterSlice,High,Low,79,79,45.64502771659613,59.590829001352475,46.84015371452148,59.033888572581766,t,2.3951377384999418e-06,-0.7794012032583538,True,True,0.0007918960077762038
flair_ET_shape_Maximum2DDiameterRow,High,Low,79,79,46.13711598728771,59.46910429882387,46.52956049652737,60.440052945046304,t,4.727737359857933e-06,-0.7545924372755733,True,True,0.0007918960077762038
t2_ET_shape_Maximum2DDiameterRow,High,Low,79,79,46.13711598728771,59.46910429882387,46.52956049652737,60.440052945046304,t,4.727737359857933e-06,-0.7545924372755733,True,True,0.0007918960077762038
t1ce_ET_shape_Maximum2DDiameterRow,High,Low,79,79,46.13711598728771,59.46910429882387,46.52956049652737,60.440052945046304,t,4.727737359857933e-06,-0.7545924372755733,True,True,0.0007918960077762038
t1_ET_shape_Maximum2DDiameterRow,High,Low,79,79,46.13711598728771,59.46910429882387,46.52956049652737,60.440052945046304,t,4.727737359857933e-06,-0.7545924372755733,True,True,0.0007918960077762038
t1_ET_shape_Maximum3DDiameter,High,Low,79,79,51.93572213041974,66.06770455329406,51.24451190127583,68.00735254367721,t,1.044310810759485e-05,-0.7249652139029582,True,True,0.0011661470720147583
t1ce_ET_shape_Maximum3DDiameter,High,Low,79,79,51.93572213041974,66.06770455329406,51.24451190127583,68.00735254367721,t,1.044310810759485e-05,-0.7249652139029582,True,True,0.0011661470720147583
