case,id,mean_tumor_flair,mean_tumor_t1,mean_tumor_t1ce,mean_tumor_t2,mean_brainrest_flair,mean_brainrest_t1,mean_brainrest_t1ce,mean_brainrest_t2
BraTS20_Training_001,001,0.7286242842674255,0.444259911775589,0.3740098774433136,0.5882828235626221,0.3089865744113922,0.6099030375480652,0.42068105936050415,0.24557434022426605
BraTS20_Training_002,002,0.8107050061225891,0.2990151047706604,0.2100054919719696,0.689098596572876,0.37325501441955566,0.5850609540939331,0.3762897551059723,0.32238486409187317
BraTS20_Training_003,003,0.9357216358184814,0.6969806551933289,0.5112852454185486,0.31158754229545593,0.6037611365318298,0.5900536179542542,0.4184611141681671,0.2412816882133484
BraTS20_Training_004,004,0.7543725371360779,0.3947950005531311,0.3490539491176605,0.6325650215148926,0.27395400404930115,0.5818549394607544,0.4189601242542267,0.237888365983963
BraTS20_Training_005,005,0.7783198952674866,0.6427055597305298,0.5815916061401367,0.32119518518447876,0.4421474039554596,0.5586491227149963,0.33785608410835266,0.3229999840259552
BraTS20_Training_006,006,0.7563860416412354,0.6265539526939392,0.5451408624649048,0.39489415287971497,0.3040335774421692,0.574938178062439,0.4770706295967102,0.2424948811531067
BraTS20_Training_007,007,0.8348062634468079,0.5179864168167114,0.4262925982475281,0.5104545950889587,0.3942408859729767,0.5190131068229675,0.3880402147769928,0.3145363926887512
BraTS20_Training_008,008,0.9255042672157288,0.4309771656990051,0.2862142324447632,0.47602593898773193,0.5381686091423035,0.5346773862838745,0.364481657743454,0.3219735324382782
BraTS20_Training_009,009,0.6733660697937012,0.3589681386947632,0.36478108167648315,0.4598678946495056,0.2981807589530945,0.5601401329040527,0.4467298686504364,0.24251800775527954
BraTS20_Training_010,010,0.8191016912460327,0.49945956468582153,0.4047578275203705,0.38129767775535583,0.48363611102104187,0.5679926872253418,0.39888933300971985,0.2900971472263336
BraTS20_Training_011,011,0.8269983530044556,0.5101326704025269,0.36201784014701843,0.44435131549835205,0.338253915309906,0.58473140001297,0.324977308511734,0.22285307943820953
BraTS20_Training_012,012,0.8058558702468872,0.45600607991218567,0.40094107389450073,0.46542054414749146,0.3766250014305115,0.5438731908798218,0.39059898257255554,0.2637755572795868
BraTS20_Training_013,013,0.8285955190658569,0.5450475215911865,0.43301403522491455,0.5442062616348267,0.39887890219688416,0.5569188594818115,0.43011656403541565,0.27516549825668335
BraTS20_Training_014,014,0.8054714798927307,0.3865504562854767,0.40698692202568054,0.4936555325984955,0.32273808121681213,0.5853894352912903,0.42872747778892517,0.22524556517601013
BraTS20_Training_015,015,0.8335939645767212,0.5402619242668152,0.38805562257766724,0.5340824723243713,0.3555568754673004,0.5464357137680054,0.38708654046058655,0.2917535603046417
BraTS20_Training_016,016,0.7289982438087463,0.6318626403808594,0.3726457953453064,0.613513171672821,0.3475014865398407,0.5502471923828125,0.3077303171157837,0.3240070343017578
BraTS20_Training_017,017,0.8250662088394165,0.505037248134613,0.3137185871601105,0.5937924385070801,0.3216908872127533,0.5874537229537964,0.36238735914230347,0.2985348105430603
BraTS20_Training_018,018,0.8696058988571167,0.6175224184989929,0.39563918113708496,0.439566969871521,0.46312206983566284,0.5735791325569153,0.369191974401474,0.2958812415599823
BraTS20_Training_019,019,0.8111757040023804,0.4937041699886322,0.3978866636753082,0.5614883303642273,0.34737417101860046,0.5852082371711731,0.3747981786727905,0.3058598041534424
BraTS20_Training_020,020,0.7442004680633545,0.4068942964076996,0.3993243873119354,0.47048190236091614,0.32357504963874817,0.5573031306266785,0.4416801631450653,0.267688512802124
BraTS20_Training_021,021,0.8043855428695679,0.7007175087928772,0.4722767770290375,0.2925369441509247,0.4775753915309906,0.5936114192008972,0.38967108726501465,0.2569566071033478
BraTS20_Training_022,022,0.8152632713317871,0.4736073315143585,0.3401784598827362,0.4541977643966675,0.31807076930999756,0.6020022630691528,0.3091087341308594,0.1763867735862732
BraTS20_Training_023,023,0.824013888835907,0.7625805735588074,0.47110041975975037,0.30498793721199036,0.4519954323768616,0.6222274303436279,0.34020334482192993,0.24074111878871918
BraTS20_Training_024,024,0.7564535140991211,0.5014704465866089,0.3204687237739563,0.5509192943572998,0.338077574968338,0.5639299154281616,0.31179386377334595,0.30891287326812744
BraTS20_Training_025,025,0.7895393967628479,0.5745691657066345,0.4174855351448059,0.5744938850402832,0.3161599934101105,0.5487727522850037,0.3164833188056946,0.24903634190559387
BraTS20_Training_026,026,0.6887741684913635,0.7330185174942017,0.31858739256858826,0.5736390352249146,0.2496640384197235,0.7835715413093567,0.3741905689239502,0.2998558580875397
BraTS20_Training_027,027,0.8679943084716797,0.5014651417732239,0.40311551094055176,0.6528165340423584,0.36610233783721924,0.5776509046554565,0.40473973751068115,0.29472458362579346
BraTS20_Training_028,028,0.8858557939529419,0.5565345287322998,0.643382728099823,0.4299166798591614,0.4351806938648224,0.5048668384552002,0.4696659445762634,0.3004833459854126
BraTS20_Training_029,029,0.8185033798217773,0.38653478026390076,0.29967454075813293,0.46432530879974365,0.3604142665863037,0.5220934748649597,0.39810338616371155,0.252681702375412
BraTS20_Training_030,030,0.8288963437080383,0.5497899055480957,0.38137587904930115,0.3409045338630676,0.4848288893699646,0.5417099595069885,0.3867463171482086,0.2832682728767395
BraTS20_Training_031,031,0.8157723546028137,0.5718644261360168,0.5551446676254272,0.4552050828933716,0.35622453689575195,0.534151554107666,0.4551442563533783,0.24713493883609772
BraTS20_Training_032,032,0.8898606896400452,0.5533608198165894,0.6072635054588318,0.4081580638885498,0.4728105068206787,0.5090023875236511,0.45485585927963257,0.31172803044319153
BraTS20_Training_033,033,0.8043885231018066,0.38397154211997986,0.2698894739151001,0.6450545787811279,0.27505555748939514,0.5233684778213501,0.31967422366142273,0.30615654587745667
BraTS20_Training_034,034,0.7427549958229065,0.5314392447471619,0.5234749913215637,0.5402011871337891,0.2809014618396759,0.5452584624290466,0.4937840402126312,0.26680001616477966
BraTS20_Training_035,035,0.7250044941902161,0.5583606362342834,0.4690288305282593,0.39499637484550476,0.2987535297870636,0.537325918674469,0.3607422113418579,0.30214452743530273
BraTS20_Training_036,036,0.8712490200996399,0.586057722568512,0.4015413820743561,0.35575854778289795,0.393379271030426,0.5339952707290649,0.28612375259399414,0.262495219707489
BraTS20_Training_037,037,0.7227529287338257,0.44349658489227295,0.24550087749958038,0.4948371946811676,0.3495417833328247,0.5641650557518005,0.30573251843452454,0.33286505937576294
BraTS20_Training_038,038,0.7353843450546265,0.6161842346191406,0.42545148730278015,0.3860425055027008,0.29161807894706726,0.5208393931388855,0.3313797414302826,0.32035088539123535
BraTS20_Training_039,039,0.8170169591903687,0.579548180103302,0.37427249550819397,0.45423781871795654,0.3858480751514435,0.6360481977462769,0.3250734210014343,0.204299658536911
BraTS20_Training_040,040,0.7860179543495178,0.5459696650505066,0.308128297328949,0.45073944330215454,0.32547804713249207,0.5655916929244995,0.29085856676101685,0.22413332760334015
BraTS20_Training_041,041,0.7877681851387024,0.45698314905166626,0.3058609962463379,0.42983946204185486,0.30400320887565613,0.558725118637085,0.295500785112381,0.23517633974552155
BraTS20_Training_042,042,0.7427252531051636,0.6278133392333984,0.3389096260070801,0.4795013964176178,0.2809985280036926,0.5707114934921265,0.26739153265953064,0.24898356199264526
BraTS20_Training_043,043,0.8086424469947815,0.4406314492225647,0.26598674058914185,0.3237474858760834,0.4681358337402344,0.602243959903717,0.3350670039653778,0.2233906388282776
BraTS20_Training_044,044,0.8448354601860046,0.5856828093528748,0.27682048082351685,0.3004092276096344,0.49134400486946106,0.5933135151863098,0.2695460915565491,0.21776187419891357
BraTS20_Training_045,045,0.8051954507827759,0.48209241032600403,0.42273110151290894,0.40030714869499207,0.3504970073699951,0.538218080997467,0.2548052668571472,0.27186766266822815
BraTS20_Training_046,046,0.7570440769195557,0.6389947533607483,0.24791458249092102,0.28637582063674927,0.5105239152908325,0.6583582758903503,0.28094011545181274,0.2535567879676819
BraTS20_Training_047,047,0.7123239040374756,0.5723181962966919,0.4105786383152008,0.33312085270881653,0.3142143487930298,0.5420512557029724,0.3317255675792694,0.21457548439502716
BraTS20_Training_048,048,0.8128247857093811,0.438215047121048,0.2874801754951477,0.3111966848373413,0.4715140163898468,0.5382168889045715,0.34969496726989746,0.21681815385818481
BraTS20_Training_049,049,0.8158878684043884,0.6137105226516724,0.41819900274276733,0.49583324790000916,0.3327549695968628,0.5367119908332825,0.372161865234375,0.3057226836681366
BraTS20_Training_050,050,0.7142376899719238,0.5582771301269531,0.42653706669807434,0.4154066741466522,0.3021951913833618,0.5768366456031799,0.3029669225215912,0.265929251909256
BraTS20_Training_051,051,0.8279140591621399,0.4787732660770416,0.2958090305328369,0.4375336468219757,0.31518879532814026,0.5617173314094543,0.3236570954322815,0.22002147138118744
BraTS20_Training_052,052,0.8482505679130554,0.5673739910125732,0.4049004018306732,0.4302172362804413,0.33302152156829834,0.5182304382324219,0.3132353723049164,0.2656302750110626
BraTS20_Training_053,053,0.8120287656784058,0.4431435763835907,0.2398591786623001,0.5565392374992371,0.3416699171066284,0.5675525665283203,0.3180055618286133,0.20379045605659485
BraTS20_Training_054,054,0.7003760933876038,0.5217500925064087,0.41649723052978516,0.33390486240386963,0.3235967457294464,0.5462475419044495,0.2665512263774872,0.2236553281545639
BraTS20_Training_055,055,0.8616420030593872,0.4809167981147766,0.267916202545166,0.4766487181186676,0.4033012092113495,0.5837416052818298,0.2961222231388092,0.2300475686788559
BraTS20_Training_056,056,0.8390611410140991,0.6445618271827698,0.48562905192375183,0.38222575187683105,0.5470090508460999,0.5417531132698059,0.3022305369377136,0.29440346360206604
BraTS20_Training_057,057,0.7451855540275574,0.6540576815605164,0.4403402805328369,0.6481437087059021,0.28015097975730896,0.5674067735671997,0.4121195077896118,0.3050452470779419
