case,id,WT_voxels,WT_vol_mm3,WT_vol_ml,WT_surf_mm2,WT_compactness,WT_sphericity,WT_elongation,WT_flatness,TC_voxels,TC_vol_mm3,TC_vol_ml,TC_surf_mm2,TC_compactness,TC_sphericity,TC_elongation,TC_flatness,ET_voxels,ET_vol_mm3,ET_vol_ml,ET_surf_mm2,ET_compactness,ET_sphericity,ET_elongation,ET_flatness,NCR_voxels,NCR_vol_mm3,NCR_vol_ml,NCR_surf_mm2,NCR_compactness,NCR_sphericity,NCR_elongation,NCR_flatness,ED_voxels,ED_vol_mm3,ED_vol_ml,ED_surf_mm2,ED_compactness,ED_sphericity,ED_elongation,ED_flatness,ET_raw_voxels,ET_raw_vol_mm3,ET_raw_vol_ml,ET_raw_surf_mm2,ET_raw_compactness,ET_raw_sphericity,ET_raw_elongation,ET_raw_flatness
BraTS20_Training_001,001,211979,211979.0,211.979,41108.390625,0.07315544013260922,0.41823034725876806,0.8649329741723284,0.6530877854009293,43185,43185.0,43.185,8687.98046875,0.3216338235224563,0.6851524860042895,0.9177051737704963,0.586614630365462,27742,27742.0,27.742,16917.9765625,0.01797556920202547,0.26195551758282687,0.9328572771170861,0.6402652133852578,15443,15443.0,15.443,9080.724609375,0.03602087026697667,0.33025652006604866,0.731829402213273,0.41979013827865236,168794,168794.0,168.794,48416.2109375,0.028391869364936047,0.30506894209657515,0.8365793881544066,0.6034521441090449,27742,27742.0,27.742,16917.9765625,0.01797556920202547,0.26195551758282687,0.9328572771170861,0.6402652133852578
BraTS20_Training_002,002,67008,67008.0,67.008,18337.904296875,0.08234866807049047,0.43506304290947595,0.7890268080756015,0.5890279087356223,15709,15709.0,15.709,3820.54296875,0.5004655496604968,0.7939467875755115,0.851762166367473,0.6510219417142608,6549,6549.0,6.549,6565.693359375,0.01713801690515785,0.2578221281908083,0.8882883736751468,0.6880869959472854,9160,9160.0,9.16,2896.50390625,0.3904999343592105,0.7309264114733414,0.8052006149469186,0.5968980747404035,51299,51299.0,51.299,21141.71875,0.031495557396792336,0.31580313205281296,0.7795986122851373,0.5982675634944884,6549,6549.0,6.549,6565.693359375,0.01713801690515785,0.2578221281908083,0.8882883736751468,0.6880869959472854
BraTS20_Training_003,003,29807,29807.0,29.807,11989.1015625,0.05830811356165324,0.3877718961655052,0.6553831671311686,0.46628096318969414,3731,3731.0,3.731,1600.116943359375,0.38427992726299776,0.7270248128423039,0.9602586654898057,0.8735642389241137,2998,2998.0,2.998,2475.103515625,0.0670402352149149,0.40623609589508286,0.9396619390491211,0.841922920367378,733,733.0,0.733,973.352294921875,0.06589464934064779,0.4039088636627462,0.7683724678300987,0.7224472336371227,26076,26076.0,26.076,11223.23828125,0.05439760354828606,0.3789017308647421,0.7713108060145576,0.5552152057651669,2998,2998.0,2.998,2475.103515625,0.0670402352149149,0.40623609589508286,0.9396619390491211,0.841922920367378
BraTS20_Training_004,004,103496,103496.0,103.496,20116.5625,0.14881208140387242,0.5299229523739816,0.8136510164894706,0.6888580768010145,26400,26400.0,26.4,5717.8779296875,0.42165338285135506,0.7498686483163111,0.9467622185299874,0.688279327110034,15498,15498.0,15.498,11473.900390625,0.017983344365451622,0.261993280937238,0.8643808596945192,0.6783404482605626,10902,10902.0,10.902,9919.62109375,0.013771443939116225,0.23969546988177665,0.8805630989287802,0.556199246811144,77096,77096.0,77.096,20364.486328125,0.07959681415443978,0.4301618538966602,0.851685531533457,0.5989854070733158,15498,15498.0,15.498,11473.900390625,0.017983344365451622,0.261993280937238,0.8643808596945192,0.6783404482605626
BraTS20_Training_005,005,21963,21963.0,21.963,7556.33349609375,0.12644519930069018,0.5019195535982836,0.4537376022754189,0.392622834525977,14410,14410.0,14.41,4797.34765625,0.21270453936342418,0.5969329967566731,0.3942679697342607,0.3559000259300344,10786,10786.0,10.786,9605.72265625,0.014845098233095077,0.24576933361213033,0.4092767395306282,0.36888944336000395,3624,3624.0,3.624,5559.32421875,0.00864495512457937,0.20523633362226418,0.34274737262961735,0.30923099230666606,7553,7553.0,7.553,6206.005859375,0.026993226507822637,0.2999749108937832,0.42755944030744886,0.285065997533025,10786,10786.0,10.786,9605.72265625,0.014845098233095077,0.24576933361213033,0.4092767395306282,0.36888944336000395
BraTS20_Training_006,006,139230,139230.0,139.23,30755.451171875,0.0753618780405209,0.422393510812358,0.6863606083510889,0.5310179581464011,44774,44774.0,44.774,9776.28515625,0.24265127707556142,0.6237264966362965,0.8502501491240616,0.5731274665213082,24947,24947.0,24.947,20349.771484375,0.008352383319408541,0.20289443676652155,0.7824226607770871,0.5530425177977766,19827,19827.0,19.827,17861.9375,0.007801546302799146,0.198332352599118,0.9841767794201582,0.6849414420662653,94456,94456.0,94.456,32637.013671875,0.02902553501952269,0.3073218304482941,0.6230173772752682,0.5229730524525175,24947,24947.0,24.947,20349.771484375,0.008352383319408541,0.20289443676652155,0.7824226607770871,0.5530425177977766
BraTS20_Training_007,007,39772,39772.0,39.772,12500.470703125,0.09158579827492996,0.45075724071193163,0.7374711891564698,0.4836699089254463,9557,9557.0,9.557,3580.630859375,0.2250178105567916,0.6082362476382076,0.8182112903054046,0.5455279039305426,6159,6159.0,6.159,4810.646484375,0.038535628916323166,0.3377698002950732,0.8744906883916099,0.6839977442804989,3398,3398.0,3.398,2663.078125,0.06914286974748106,0.41043948461653834,0.5370474204618895,0.29978675785765774,30215,30215.0,30.215,14939.2958984375,0.030967573905885316,0.3140284972374503,0.7060002706185623,0.44173684269399627,6159,6159.0,6.159,4810.646484375,0.038535628916323166,0.3377698002950732,0.8744906883916099,0.6839977442804989
BraTS20_Training_008,008,33446,33446.0,33.446,15757.9375,0.032332748449941384,0.31857684563391087,0.6836593912659544,0.5158085674773081,1368,1368.0,1.368,873.4181518554688,0.31765663275723693,0.6823166607648699,0.5472030829241118,0.4500172530328985,1211,1211.0,1.211,910.9364013671875,0.2194201404746751,0.6031502278959097,0.5268222925635437,0.4170293582910949,157,157.0,0.157,387.6898193359375,0.047840806050063626,0.36302190329946193,0.8404879849162824,0.6566054923811504,32078,32078.0,32.078,16238.4345703125,0.027179061749323163,0.3006617309647276,0.680697189176701,0.5171505164412219,1211,1211.0,1.211,910.9364013671875,0.2194201404746751,0.6031502278959097,0.5268222925635437,0.4170293582910949
BraTS20_Training_009,009,183094,183094.0,183.094,45226.48828125,0.04098472233519566,0.3447788888741054,0.6535693870299732,0.46363874460516,76260,76260.0,76.26,18260.357421875,0.10802347732449578,0.47625482043255324,0.6366033881163979,0.5036943639488741,50901,50901.0,50.901,26414.283203125,0.015899684733612012,0.2514564833920342,0.6417874886152194,0.5054715160739804,25359,25359.0,25.359,19960.337890625,0.009145615829563636,0.20912421231087075,0.6105301421292058,0.46729268976342364,106834,106834.0,106.834,47255.046875,0.012232824835350141,0.23041402951652815,0.6433161692751521,0.45065999423747427,50901,50901.0,50.901,26414.283203125,0.015899684733612012,0.2514564833920342,0.6417874886152194,0.5054715160739804
BraTS20_Training_010,010,44582,44582.0,44.582,20568.390625,0.025832743613122,0.2956129879929207,0.6669220790423909,0.49503089435294173,6994,6994.0,6.994,2646.337890625,0.29851608963989645,0.6683273713293089,0.7681242666163661,0.6315634761895531,6473,6473.0,6.473,3143.37158203125,0.15257255526493738,0.5343495811026086,0.7464968244854862,0.6127841467175877,521,521.0,0.521,880.3583984375,0.04499344894890323,0.35567206932263196,0.7420912095915042,0.652476571421174,37588,37588.0,37.588,21195.037109375,0.016782175791105386,0.25602522431659397,0.6543191781856954,0.49773320185518205,6473,6473.0,6.473,3143.37158203125,0.15257255526493738,0.5343495811026086,0.7464968244854862,0.6127841467175877
